Subject ID,Experimental Batch,List Number,Question Preview,Data Collection Site,Comprehension Score - Regular Trials,Comprehension Score - Repeated Reading,Recalibration Count,Total Session Duration,Session Duration,Dominant Eye,Tracked Eye,LexTALE Score*,Mich-Test
1095,3,55,p,False,67.0,50.0,6,75.84974999999997,60.72136666666667,R,R,66.25,74
1021,1,56,n,False,80.0,82.0,14,132.27526666666662,97.46978333333333,L,L,75.0,90
1107,3,56,p,,91.0,78.0,7,111.64651666666666,57.94245,,LR,,
1102,1,57,n,False,70.0,88.0,5,96.85381666666666,75.51121666666667,R,R,75.0,84
1115,1,58,n,True,87.0,73.0,5,57.22306666666666,51.705400000000004,R,R,65.0,92
1125,1,58,p,True,30.0,27.0,8,142.69535,108.19879999999999,L,R,47.5,Not enough time to complete
1075,1,5,n,True,91.0,80.0,5,119.58400000000002,87.44116666666667,L,L,87.5,97
1009,1,7,n,False,56.0,30.0,26,199.71035,137.6042833333333,L,R,73.75,77
1090,2,7,p,True,94.0,83.0,8,63.83450000000002,39.90618333333334,R,R,88.75,97
1091,3,7,n,True,81.0,56.0,4,86.71706666666667,70.91163333333334,R,R,78.75,94
1101,3,7,p,True,65.0,33.0,10,121.03491666666667,99.3146,L,R,37.25,75
1061,1,8,n,True,81.0,83.0,3,72.97728333333335,59.12433333333333,R,R,95.0,99
1096,1,8,p,False,87.0,92.0,4,59.55561666666667,50.792699999999996,L,R,72.75,97
1104,2,8,n,False,78.0,75.0,32,104.84535,61.222433333333335,R,R,61.25,84
1112,2,8,p,False,74.0,83.0,10,81.7149,64.80655,R,R,62.5,91
1118,3,8,n,False,69.0,82.0,18,107.84995,85.63515000000001,R,R,61.25,89
1130,3,8,p,False,72.0,82.0,8,137.76634999999996,110.83121666666666,R,R,-1.0,-1
1126,1,9,n,True,70.0,89.0,21,95.57451666666665,65.33493333333334,R,R,92.5,95
