filename,num_lines,number_of_fixations,participant_id,trial_index,incorrect_line,unknown_line,mistake_count,unknown_count,error_rate
10_056_l2_324_40.pdf,10,56,l2_324,40,[36],"[5, 9, 12, 18, 19, 20, 21, 26, 31, 32, 33, 40, 41, 46, 49, 50, 54, 55]",1,18,0.017857142857142856
10_056_l48_535_44.pdf,10,56,l48_535,44,"[36, 42, 43]","[6, 11, 12, 14, 15, 16, 17, 22, 27, 31, 38, 39, 44, 50, 53]",3,15,0.05357142857142857
10_057_l36_280_56.pdf,10,57,l36_280,56,"[7, 20, 41]","[8, 9, 12, 13, 16, 22, 26, 27, 29, 36, 42, 46, 47, 51, 52, 53, 54, 55, 56]",3,19,0.05263157894736842
10_059_l52_477_34.pdf,10,59,l52_477,34,"[6, 11]","[5, 10, 12, 14, 18, 24, 25, 30, 31, 36, 37, 42, 43, 50, 51, 57]",2,16,0.03389830508474576
10_060_l48_140_33.pdf,10,60,l48_140,33,[11],"[8, 16, 17, 23, 24, 29, 35, 39, 43, 49, 50, 56]",1,12,0.016666666666666666
10_061_l5_82_34.pdf,10,61,l5_82,34,[],"[6, 7, 12, 13, 19, 27, 31, 32, 33, 42, 48, 52, 53, 55, 56, 60]",0,16,0.0
10_062_l56_438_50.pdf,10,62,l56_438,50,"[8, 9, 11, 12, 13, 16, 20]","[6, 7, 14, 15, 21, 27, 33, 39, 40, 47, 48, 54, 55, 61]",7,14,0.11290322580645161
10_062_l55_519_35.pdf,10,62,l55_519,35,[],"[8, 13, 14, 15, 17, 20, 21, 26, 27, 37, 42, 43, 49, 50, 51, 56, 61]",0,17,0.0
10_062_l7_267_24.pdf,10,62,l7_267,24,"[0, 1, 2, 6, 7, 13, 19, 20, 27, 28, 31, 32, 35, 44, 51, 52]","[5, 12, 18, 25, 26, 34, 40, 41, 47, 53, 58, 59, 60, 61]",16,14,0.25806451612903225
10_064_l28_495_53.pdf,10,64,l28_495,53,[],"[6, 11, 12, 20, 26, 27, 32, 36, 42, 43, 47, 54, 55, 60, 63]",0,15,0.0
10_065_l26_107_53.pdf,10,65,l26_107,53,"[17, 21, 22, 28, 29, 30, 37, 48, 61]","[7, 8, 11, 15, 16, 24, 31, 32, 38, 39, 45, 50, 58, 63, 64]",9,15,0.13846153846153847
10_065_l39_299_54.pdf,10,65,l39_299,54,[40],"[7, 8, 15, 16, 23, 24, 30, 37, 45, 49, 55, 61, 64]",1,13,0.015384615384615385
10_068_l43_131_33.pdf,10,68,l43_131,33,"[60, 65]","[0, 10, 18, 19, 24, 33, 40, 41, 49, 57, 58, 63, 67]",2,13,0.029411764705882353
10_068_l4_80_36.pdf,10,68,l4_80,36,[],"[8, 16, 25, 26, 32, 38, 39, 46, 52, 59, 65, 67]",0,12,0.0
10_068_l30_111_42.pdf,10,68,l30_111,42,"[21, 34, 41, 54]","[2, 10, 11, 14, 15, 16, 22, 23, 28, 31, 32, 33, 38, 39, 50, 56, 57, 61, 62, 66, 67]",4,21,0.058823529411764705
10_071_l10_341_48.pdf,10,71,l10_341,48,[],"[8, 9, 17, 18, 24, 25, 31, 32, 38, 39, 45, 46, 55, 63, 68, 69]",0,16,0.0
10_072_l42_290_33.pdf,10,72,l42_290,33,[],"[7, 8, 10, 17, 18, 26, 27, 31, 32, 38, 39, 44, 45, 51, 52, 58, 59, 60, 65, 66, 70, 71]",0,22,0.0
10_072_l37_534_8.pdf,10,72,l37_534,8,[],"[8, 9, 14, 15, 21, 22, 28, 29, 37, 38, 44, 46, 53, 54, 55, 56, 65, 71]",0,18,0.0
10_074_l28_380_38.pdf,10,74,l28_380,38,[10],"[12, 13, 19, 20, 26, 27, 32, 33, 37, 39, 46, 51, 57, 62, 63, 68]",1,16,0.013513513513513514
10_074_l35_278_28.pdf,10,74,l35_278,28,[],"[8, 9, 16, 17, 24, 25, 31, 39, 40, 41, 48, 49, 54, 55, 57, 65, 66, 73]",0,18,0.0
